   Elapsed time	  ECG I	iltered
   hh:mm:ss.mmm	   (mV)	   (mV)
       0:00.000	  0.335	  0.020
       0:00.002	  0.125	 -0.040
       0:00.004	 -0.055	 -0.060
       0:00.006	  0.060	 -0.070
       0:00.008	  0.135	 -0.055
       0:00.010	  0.355	 -0.025
       0:00.012	  0.535	  0.015
       0:00.014	  0.595	  0.050
       0:00.016	  0.590	  0.075
       0:00.018	  0.560	  0.075
       0:00.020	  0.350	  0.055
       0:00.022	  0.190	  0.025
       0:00.024	  0.040	 -0.010
       0:00.026	  0.005	 -0.035
       0:00.028	  0.085	 -0.045
       0:00.030	  0.290	 -0.040
       0:00.032	  0.510	 -0.020
       0:00.034	  0.620	  0.005
       0:00.036	  0.650	  0.030
       0:00.038	  0.600	  0.050
       0:00.040	  0.340	  0.055
       0:00.042	  0.145	  0.045
       0:00.044	  0.060	  0.030
       0:00.046	  0.065	  0.015
       0:00.048	  0.100	  0.005
       0:00.050	  0.320	 -0.005
       0:00.052	  0.550	 -0.005
       0:00.054	  0.680	  0.000
       0:00.056	  0.600	  0.005
       0:00.058	  0.550	  0.005
       0:00.060	  0.255	 -0.005
       0:00.062	  0.035	 -0.015
       0:00.064	 -0.005	 -0.025
       0:00.066	  0.060	 -0.035
       0:00.068	  0.145	 -0.035
       0:00.070	  0.365	 -0.030
       0:00.072	  0.535	 -0.020
       0:00.074	  0.595	 -0.010
       0:00.076	  0.590	  0.005
       0:00.078	  0.520	  0.010
       0:00.080	  0.295	  0.005
       0:00.082	  0.070	 -0.005
       0:00.084	 -0.010	 -0.015
       0:00.086	  0.005	 -0.030
       0:00.088	  0.110	 -0.045
       0:00.090	  0.340	 -0.050
       0:00.092	  0.525	 -0.045
       0:00.094	  0.585	 -0.035
       0:00.096	  0.550	 -0.025
       0:00.098	  0.465	 -0.010
       0:00.100	  0.260	 -0.005
       0:00.102	  0.080	  0.000
       0:00.104	  0.030	 -0.005
       0:00.106	  0.050	 -0.015
       0:00.108	  0.115	 -0.030
       0:00.110	  0.335	 -0.040
       0:00.112	  0.515	 -0.045
       0:00.114	  0.615	 -0.045
       0:00.116	  0.610	 -0.040
       0:00.118	  0.500	 -0.030
       0:00.120	  0.215	 -0.015
       0:00.122	  0.055	 -0.005
       0:00.124	  0.055	  0.005
       0:00.126	  0.135	  0.010
       0:00.128	  0.175	  0.010
       0:00.130	  0.390	  0.005
       0:00.132	  0.575	  0.000
       0:00.134	  0.585	 -0.005
       0:00.136	  0.595	 -0.010
       0:00.138	  0.505	 -0.015
       0:00.140	  0.245	 -0.010
       0:00.142	  0.110	  0.000
       0:00.144	  0.040	  0.010
       0:00.146	  0.115	  0.025
       0:00.148	  0.245	  0.035
       0:00.150	  0.495	  0.045
       0:00.152	  0.625	  0.055
       0:00.154	  0.635	  0.055
       0:00.156	  0.585	  0.055
       0:00.158	  0.510	  0.050
       0:00.160	  0.290	  0.045
       0:00.162	  0.105	  0.040
       0:00.164	  0.085	  0.035
       0:00.166	  0.125	  0.035
       0:00.168	  0.285	  0.030
       0:00.170	  0.475	  0.030
       0:00.172	  0.610	  0.025
       0:00.174	  0.605	  0.020
       0:00.176	  0.570	  0.015
       0:00.178	  0.450	  0.005
       0:00.180	  0.235	  0.000
       0:00.182	  0.070	 -0.010
       0:00.184	  0.030	 -0.015
       0:00.186	  0.055	 -0.025
       0:00.188	  0.195	 -0.030
       0:00.190	  0.455	 -0.035
       0:00.192	  0.545	 -0.040
       0:00.194	  0.545	 -0.050
       0:00.196	  0.505	 -0.055
       0:00.198	  0.355	 -0.055
       0:00.200	  0.155	 -0.055
       0:00.202	  0.025	 -0.055
       0:00.204	 -0.005	 -0.050
       0:00.206	  0.055	 -0.045
       0:00.208	  0.250	 -0.040
       0:00.210	  0.410	 -0.035
       0:00.212	  0.565	 -0.030
       0:00.214	  0.585	 -0.030
       0:00.216	  0.550	 -0.030
       0:00.218	  0.410	 -0.035
       0:00.220	  0.155	 -0.040
       0:00.222	  0.065	 -0.045
       0:00.224	 -0.005	 -0.050
       0:00.226	  0.055	 -0.050
       0:00.228	  0.200	 -0.055
       0:00.230	  0.400	 -0.055
       0:00.232	  0.545	 -0.050
       0:00.234	  0.545	 -0.050
       0:00.236	  0.555	 -0.045
       0:00.238	  0.445	 -0.045
       0:00.240	  0.180	 -0.040
       0:00.242	  0.025	 -0.040
       0:00.244	 -0.020	 -0.035
       0:00.246	  0.040	 -0.030
       0:00.248	  0.240	 -0.030
       0:00.250	  0.495	 -0.025
       0:00.252	  0.630	 -0.025
       0:00.254	  0.590	 -0.025
       0:00.256	  0.550	 -0.030
       0:00.258	  0.400	 -0.035
       0:00.260	  0.145	 -0.045
       0:00.262	 -0.015	 -0.055
       0:00.264	 -0.045	 -0.065
       0:00.266	  0.010	 -0.070
       0:00.268	  0.195	 -0.075
       0:00.270	  0.460	 -0.080
       0:00.272	  0.560	 -0.080
       0:00.274	  0.575	 -0.080
       0:00.276	  0.465	 -0.075
       0:00.278	  0.310	 -0.065
       0:00.280	  0.100	 -0.055
       0:00.282	 -0.005	 -0.035
       0:00.284	  0.035	 -0.005
       0:00.286	  0.145	  0.045
       0:00.288	  0.450	  0.105
       0:00.290	  0.750	  0.190
       0:00.292	  0.985	  0.295
       0:00.294	  1.070	  0.415
       0:00.296	  1.135	  0.540
       0:00.298	  1.040	  0.665
       0:00.300	  0.945	  0.775
       0:00.302	  0.935	  0.855
       0:00.304	  0.935	  0.895
       0:00.306	  1.030	  0.885
       0:00.308	  1.340	  0.830
       0:00.310	  1.455	  0.735
       0:00.312	  1.260	  0.610
       0:00.314	  0.940	  0.465
       0:00.316	  0.745	  0.325
       0:00.318	  0.440	  0.195
       0:00.320	  0.190	  0.090
       0:00.322	  0.090	  0.015
       0:00.324	  0.090	 -0.025
       0:00.326	  0.110	 -0.045
       0:00.328	  0.280	 -0.040
       0:00.330	  0.500	 -0.030
       0:00.332	  0.640	 -0.020
       0:00.334	  0.605	 -0.005
       0:00.336	  0.565	  0.000
       0:00.338	  0.325	  0.000
       0:00.340	  0.120	 -0.005
       0:00.342	  0.060	 -0.010
       0:00.344	  0.085	 -0.015
       0:00.346	  0.150	 -0.020
       0:00.348	  0.315	 -0.020
       0:00.350	  0.545	 -0.020
       0:00.352	  0.625	 -0.020
       0:00.354	  0.565	 -0.020
       0:00.356	  0.530	 -0.025
       0:00.358	  0.285	 -0.025
       0:00.360	  0.095	 -0.030
       0:00.362	  0.015	 -0.035
       0:00.364	  0.105	 -0.035
       0:00.366	  0.145	 -0.030
       0:00.368	  0.345	 -0.025
       0:00.370	  0.600	 -0.020
       0:00.372	  0.630	 -0.015
       0:00.374	  0.565	 -0.010
       0:00.376	  0.505	 -0.010
       0:00.378	  0.305	 -0.010
       0:00.380	  0.100	 -0.015
       0:00.382	  0.050	 -0.020
       0:00.384	  0.095	 -0.025
       0:00.386	  0.175	 -0.030
       0:00.388	  0.355	 -0.035
       0:00.390	  0.525	 -0.035
       0:00.392	  0.615	 -0.035
       0:00.394	  0.540	 -0.035
       0:00.396	  0.480	 -0.035
       0:00.398	  0.280	 -0.030
       0:00.400	  0.095	 -0.035
       0:00.402	  0.055	 -0.040
       0:00.404	  0.095	 -0.045
       0:00.406	  0.140	 -0.055
       0:00.408	  0.370	 -0.070
       0:00.410	  0.495	 -0.075
       0:00.412	  0.525	 -0.080
       0:00.414	  0.470	 -0.080
       0:00.416	  0.385	 -0.075
       0:00.418	  0.285	 -0.060
       0:00.420	  0.110	 -0.040
       0:00.422	  0.060	 -0.020
       0:00.424	  0.195	 -0.005
       0:00.426	  0.255	  0.005
       0:00.428	  0.445	  0.010
       0:00.430	  0.575	  0.010
       0:00.432	  0.605	  0.005
       0:00.434	  0.535	 -0.005
       0:00.436	  0.460	 -0.020
       0:00.438	  0.240	 -0.025
       0:00.440	  0.095	 -0.030
       0:00.442	  0.095	 -0.030
       0:00.444	  0.125	 -0.020
       0:00.446	  0.235	 -0.010
       0:00.448	  0.455	  0.000
       0:00.450	  0.590	  0.010
       0:00.452	  0.635	  0.015
       0:00.454	  0.550	  0.020
       0:00.456	  0.485	  0.015
       0:00.458	  0.275	  0.010
       0:00.460	  0.140	  0.000
       0:00.462	  0.105	 -0.010
       0:00.464	  0.150	 -0.020
       0:00.466	  0.225	 -0.025
       0:00.468	  0.440	 -0.020
       0:00.470	  0.590	 -0.015
       0:00.472	  0.655	 -0.005
       0:00.474	  0.585	  0.010
       0:00.476	  0.495	  0.020
       0:00.478	  0.290	  0.025
       0:00.480	  0.140	  0.025
       0:00.482	  0.130	  0.020
       0:00.484	  0.195	  0.010
       0:00.486	  0.250	 -0.005
       0:00.488	  0.480	 -0.015
       0:00.490	  0.635	 -0.025
       0:00.492	  0.600	 -0.025
       0:00.494	  0.510	 -0.020
       0:00.496	  0.435	 -0.005
       0:00.498	  0.240	  0.015
       0:00.500	  0.155	  0.035
       0:00.502	  0.210	  0.055
       0:00.504	  0.245	  0.070
       0:00.506	  0.385	  0.075
       0:00.508	  0.565	  0.075
       0:00.510	  0.720	  0.070
       0:00.512	  0.690	  0.065
       0:00.514	  0.635	  0.065
       0:00.516	  0.490	  0.065
       0:00.518	  0.300	  0.070
       0:00.520	  0.185	  0.075
       0:00.522	  0.240	  0.090
       0:00.524	  0.280	  0.100
       0:00.526	  0.450	  0.110
       0:00.528	  0.595	  0.120
       0:00.530	  0.735	  0.120
       0:00.532	  0.745	  0.125
       0:00.534	  0.730	  0.125
       0:00.536	  0.565	  0.125
       0:00.538	  0.375	  0.130
       0:00.540	  0.255	  0.135
       0:00.542	  0.255	  0.145
       0:00.544	  0.300	  0.155
       0:00.546	  0.515	  0.165
       0:00.548	  0.700	  0.170
       0:00.550	  0.800	  0.170
       0:00.552	  0.780	  0.165
       0:00.554	  0.710	  0.155
       0:00.556	  0.590	  0.145
       0:00.558	  0.385	  0.140
       0:00.560	  0.270	  0.135
       0:00.562	  0.315	  0.135
       0:00.564	  0.305	  0.140
       0:00.566	  0.480	  0.150
       0:00.568	  0.680	  0.165
       0:00.570	  0.840	  0.175
       0:00.572	  0.825	  0.190
       0:00.574	  0.810	  0.200
       0:00.576	  0.600	  0.200
       0:00.578	  0.445	  0.200
       0:00.580	  0.320	  0.190
       0:00.582	  0.310	  0.175
       0:00.584	  0.325	  0.160
       0:00.586	  0.490	  0.145
       0:00.588	  0.700	  0.130
       0:00.590	  0.735	  0.120
       0:00.592	  0.790	  0.120
       0:00.594	  0.720	  0.120
       0:00.596	  0.550	  0.125
       0:00.598	  0.340	  0.130
       0:00.600	  0.250	  0.130
       0:00.602	  0.265	  0.130
       0:00.604	  0.285	  0.115
       0:00.606	  0.435	  0.100
       0:00.608	  0.645	  0.075
       0:00.610	  0.695	  0.045
       0:00.612	  0.655	  0.020
       0:00.614	  0.605	 -0.005
       0:00.616	  0.350	 -0.020
       0:00.618	  0.195	 -0.030
       0:00.620	  0.125	 -0.030
       0:00.622	  0.130	 -0.030
       0:00.624	  0.165	 -0.030
       0:00.626	  0.355	 -0.035
       0:00.628	  0.470	 -0.040
       0:00.630	  0.570	 -0.055
       0:00.632	  0.600	 -0.070
       0:00.634	  0.510	 -0.085
       0:00.636	  0.250	 -0.095
       0:00.638	  0.105	 -0.100
       0:00.640	  0.050	 -0.100
       0:00.642	  0.085	 -0.095
       0:00.644	  0.105	 -0.085
       0:00.646	  0.370	 -0.075
       0:00.648	  0.545	 -0.070
       0:00.650	  0.610	 -0.070
       0:00.652	  0.495	 -0.075
       0:00.654	  0.465	 -0.085
       0:00.656	  0.255	 -0.100
       0:00.658	  0.055	 -0.115
       0:00.660	  0.015	 -0.125
       0:00.662	  0.020	 -0.125
       0:00.664	  0.140	 -0.125
       0:00.666	  0.355	 -0.115
       0:00.668	  0.495	 -0.100
       0:00.670	  0.530	 -0.085
       0:00.672	  0.545	 -0.075
       0:00.674	  0.520	 -0.070
       0:00.676	  0.270	 -0.070
       0:00.678	  0.105	 -0.075
       0:00.680	  0.055	 -0.085
       0:00.682	  0.100	 -0.095
       0:00.684	  0.115	 -0.100
       0:00.686	  0.340	 -0.105
       0:00.688	  0.530	 -0.105
       0:00.690	  0.610	 -0.100
       0:00.692	  0.525	 -0.095
       0:00.694	  0.480	 -0.085
       0:00.696	  0.240	 -0.080
       0:00.698	  0.095	 -0.075
       0:00.700	  0.055	 -0.075
